rodada,algoritmo,RMSE
1,BMF,0.82647
2,BMF,0.8186
3,BMF,0.82248
4,BMF,0.82476
5,BMF,0.82901
6,BMF,0.82164
7,BMF,0.82098
8,BMF,0.82103
9,BMF,0.82494
10,BMF,0.81726
11,BMF,0.83008
12,BMF,0.81783
13,BMF,0.82733
14,BMF,0.82559
15,BMF,0.82388
16,BMF,0.82324
17,BMF,0.82688
18,BMF,0.82344
19,BMF,0.82651
20,BMF,0.82633
21,BMF,0.81885
22,BMF,0.82426
23,BMF,0.82972
24,BMF,0.82497
25,BMF,0.81899
26,BMF,0.81328
27,BMF,0.82014
28,BMF,0.8199
29,BMF,0.82762
30,BMF,0.82163
1,BMF+(PB+PB_V+PB_N),0.7916
2,BMF+(PB+PB_V+PB_N),0.78553
3,BMF+(PB+PB_V+PB_N),0.79179
4,BMF+(PB+PB_V+PB_N),0.78751
5,BMF+(PB+PB_V+PB_N),0.79179
6,BMF+(PB+PB_V+PB_N),0.78931
7,BMF+(PB+PB_V+PB_N),0.7919
8,BMF+(PB+PB_V+PB_N),0.7888
9,BMF+(PB+PB_V+PB_N),0.79251
10,BMF+(PB+PB_V+PB_N),0.78676
11,BMF+(PB+PB_V+PB_N),0.79867
12,BMF+(PB+PB_V+PB_N),0.78564
13,BMF+(PB+PB_V+PB_N),0.7937
14,BMF+(PB+PB_V+PB_N),0.79422
15,BMF+(PB+PB_V+PB_N),0.78802
16,BMF+(PB+PB_V+PB_N),0.79019
17,BMF+(PB+PB_V+PB_N),0.79177
18,BMF+(PB+PB_V+PB_N),0.79313
19,BMF+(PB+PB_V+PB_N),0.79115
20,BMF+(PB+PB_V+PB_N),0.79193
21,BMF+(PB+PB_V+PB_N),0.78725
22,BMF+(PB+PB_V+PB_N),0.79379
23,BMF+(PB+PB_V+PB_N),0.79665
24,BMF+(PB+PB_V+PB_N),0.79131
25,BMF+(PB+PB_V+PB_N),0.79278
26,BMF+(PB+PB_V+PB_N),0.78583
27,BMF+(PB+PB_V+PB_N),0.78836
28,BMF+(PB+PB_V+PB_N),0.78366
29,BMF+(PB+PB_V+PB_N),0.79636
30,BMF+(PB+PB_V+PB_N),0.78963
1,BMF+PB,0.7937
2,BMF+PB,0.78782
3,BMF+PB,0.79412
4,BMF+PB,0.78924
5,BMF+PB,0.79427
6,BMF+PB,0.79165
7,BMF+PB,0.79397
8,BMF+PB,0.79062
9,BMF+PB,0.79467
10,BMF+PB,0.78878
11,BMF+PB,0.80065
12,BMF+PB,0.78762
13,BMF+PB,0.79702
14,BMF+PB,0.79672
15,BMF+PB,0.79006
16,BMF+PB,0.79234
17,BMF+PB,0.79384
18,BMF+PB,0.79544
19,BMF+PB,0.7939
20,BMF+PB,0.79457
21,BMF+PB,0.78998
22,BMF+PB,0.79568
23,BMF+PB,0.79941
24,BMF+PB,0.79357
25,BMF+PB,0.79546
26,BMF+PB,0.78836
27,BMF+PB,0.79079
28,BMF+PB,0.78572
29,BMF+PB,0.79872
30,BMF+PB,0.79276
1,MF,0.85035
2,MF,0.84219
3,MF,0.83605
4,MF,0.83775
5,MF,0.85165
6,MF,0.83427
7,MF,0.84188
